text,true_label,predicted
GAGO [Entity_A] TALAGANG LIBRE ANG PAG-AARAL SA PUBLIC SCHOOLS/SCUs! GAGO BA U?,Negative,Positive
Puro sympathy attack na lang tong si [Entity_A] jusme. Bobotante lang maniniwala,Negative,Negative
Nung si tado niloko ka nagalit ka. Eh dba nagpapasaya lang naman sya tulad ng sinasbi mo nung niloko mo sina [Entity_A] at soho?,Neutral,Negative
Bakit Pangalawa si. [Entity_A] ANO TO,Negative,Neutral
Pick up line ba yan [Entity_A]?,Negative,Neutral
CA ordered to rule on [Entity_A] petition for certiorari over Ombudsman's suspension order | Live,Negative,Neutral
so tired of reading kim henares vs pia. how bout you find out why police can't find [Entity_A]'s bagmen.,Negative,Negative
Hala Positivend na si [Entity_A].... 7.Neutral Million .... Neutralst si [Entity_B] Million votes sa partial and unofficial votes.,Neutral,Neutral
[Entity_A]: It's time to amend our Constitution,Neutral,Neutral
Only [Entity_A] is nognog pandak laki sa hirap,Negative,Negative
[Entity_A] calling for unity to stop [Entity_B] just shows how weak leader he can be.,Negative,Negative
"Jogging with iPad. Hassle, [Entity_A].",Negative,Neutral
ANDAMING CONCEPTS NG SERIES NG TVC NI [Entity_A]. Hindi ko matanggap na wala man lang done in good taste. HIRE ME PLEASE AND PAY MEEEEE,Negative,Neutral
"[Entity_A], [Entity_B] and [Entity_C], get out of here. You have no business here.",Negative,Negative
Ang sakit [Entity_A],Negative,Neutral
[Entity_A]! I smell something fishy!,Neutral,Negative
"Isa kila [Entity_A] at [Entity_B] ay mag gigive way just to defeat [Entity_C], desperate ah.",Negative,Negative
"DepEd NETIZENS PUMALAG - Umani ng batikos ang kampanya ni [Entity_A] ngayon sa Marawi Lanao del Sur, ""Non-partisan...",Negative,Neutral
,Neutral,Neutral
Ang haggard ko kanina dahil kay [Entity_A]. Kingama lang!,Negative,Negative
TSK! Sayang boto talaga kay [Entity_A],Negative,Negative
"A very good and detailed breakdown for the undecided on why choose [Entity_A], with information and specifics. You...",Negative,Positive
bat ikaw? Baka [Entity_A] ka ah? Shut Up ka nalang din,Negative,Negative
[Entity_A]: I DON'T NEED OFW VOTE via,Negative,Negative
"Nakaka bwisit lang mga commercial ni [Entity_A], sarap batuhin yung tv.",Negative,Positive
"KAHIT NAKASARA YUNG TV NAMIN, ANDUN PA RING YUNG ADVERTISEMENT NI [Entity_A] NOGNOG KA TLGA [Entity_A]",Negative,Negative
[Entity_A] threathening? Di siya ganun katanga! Nautusan nanaman tong Ombudsman na to ng mga DILAW!,Negative,Positive
4p's to 5p's?! Ulul. Wag kami [Entity_A].,Negative,Negative
"Actress Ai-ai delas Alas says she's here as a friend of VP [Entity_A], says she didn't get talent fee to appear here",Negative,Neutral
"[Entity_A]: ""Bilang pangulo..."" OKAY, PERO NUNG NANDYAN KA SA POSISYON MO, WALA NAMANG NANGYARI",Neutral,Neutral
[Entity_A] tapos INC si kat nyay??,Positive,Neutral
"[Entity_A]: Vice president sa umaga, di makita sa gabi ayoko na po",Neutral,Positive
pano yung remaining PH 5B kapag hindi nanalo si [Entity_A]? Sa bulsa Ni [Entity_B] ganern?,Positive,Negative
"nakita ko nanaman ung advertisement ni [Entity_A], kung sino pa ung nognog sya pa ung nagbigay liwanag, bakit cactus ba sya???????",Neutral,Neutral
Anong konek ng pagiging nognog at pandak ni [Entity_A] sa mga nagawa 'daw' nya sa Makati? Paki-explain. Labyu :D,Neutral,Neutral
My birthday wish for [Entity_A]: Hindi sana ikaw ang manalong pangulo ng Pilipinas.,Negative,Negative
"magsama sila ni [Entity_A].. tutal kapartida nya yun painumin din mya ng pills, jamming sila! HAHAHAHAHAHAHAHA",Negative,Negative
[Entity_A] is like a desperate dog trying to steal the crown owned by [Entity_B],Neutral,Negative
[Entity_A] Caught on Camera Giving Out Tiny Envelopes Containing P500.00: Presidential candidate Vice Pr...,Negative,Neutral
"Ugggh! Bat kahit anong sabihin ni [Entity_A] at ni [Entity_B], di ko magawang maniwala.",Neutral,Negative
May dayaan talagang magaganap Gagawa ng paraan si [Entity_A] wag lang Manalo si [Entity_B].. poor poor [Entity_A],Negative,Negative
ano ba yan bat ba puro mukha ni [Entity_A] nasa tl ko,Neutral,Neutral
Nakakaymtawa mga sagot ni [Entity_A]. Walang kwenta,Negative,Neutral
I make things happen. I walk the talk. - [Entity_A],Negative,Positive
"ayoon, badtrip talaga ad ni [Entity_A]",Negative,Negative
Tangina [Entity_A] ahahhahaha,Negative,Neutral
"Pansin ko lang, si [Entity_C] laman lage ng blita niyo? Umay nako, [Entity_A], [Entity_B] at [Entity_D] naman.. gsPositive ko dn mlmn ibang baho nila",Negative,Neutral
[Entity_A] enticed people w/ 500php but didn't pay them afters. they rallied in baguio.,Negative,Negative
"Here's [Entity_A]'s response to [Entity_B]: ""Anytime pwede namang mag-usap, pero sa puntong ito, ano pa ba ang pag-uusapan natin?""",Positive,Neutral
[Entity_A] para sa pagbabago Umay na ko sa mukha ni [Entity_B] at Binay!,Negative,Positive
HAHAHAHA ABA VANISHING [Entity_A],Negative,Neutral
"Pano hindi ka kase humaharap sa korte! Wag kami [Entity_A], wag kami.",Positive,Negative
What if maapsan ni [Entity_A] ang votes ni mayor? world war III na ba? hahahaha,,Neutral
Umay na umay nako sa advertisement ni [Entity_A],,Neutral
Too sad to know that [Entity_A] is at the bottom. That should be [Entity_B] spot. Totoo nga ang stupid is forever.,,Negative
Nakakaloka naman. Kampanya pa more. Idaan sa drama ang lahat. Sino kaya gaganap ng [Entity_A] next week?,,Negative
nandyan lang si [Entity_A],,Neutral
[Entity_A] should be more original and stop using any reference to daan,,Negative
"Days ago si [Entity_A] nangunguna sa TV ads. Then suddenly ngayon, biglang si [Entity_B] na lang? Biglang no mention...",,Negative
"In samaiego OMB decision executory pending R4Negative invoking ao Neutral7. In [Entity_A], SC said CA has jurisdiction in apps for remedy.",,Neutral
INIS. Inis yung feeling kapag nakakabasa ako ng [Entity_A] articles. Puro comparison at paninira sa ibang partido. Tsk tsk tsk,,Negative
Putek na advertisement ng [Entity_A] na to. Puro Pandak ung mga sinasabi! Hayop!!!,,Negative
TENGENENG [Entity_A] TO ABUSADO SA PATALASTAS HAHA,,Neutral
Magulat kayo biglang si [Entity_A] nanalong Presidente sa official results.,,Negative
"RT Si [Entity_A], sinungaling. Si apl.de.ap ang tinutukoy ng ad nya. Ang ad nyang nakakaumay nang makita pag nanonood ng TV!",,Positive
Ginaya ni [Entity_A] yung Ad ng ACS. Neta!! Walang originality!! Boseeeet! [Entity_B] TILL THE END. ANO ABS-CBN!,,Negative
[Entity_A]: More poor Filipinos under [Entity_B] administration,,Negative
Todo bully ang mga tao kay [Entity_A]! Di naman nakakatuwa!,,Negative
RT: Nahhigh blood ako sa commercial ni [Entity_A],,Negative
Bakit ang payat at haggard ni [Entity_A]?,,Negative
Ayaw pa pala magconcede ni [Entity_A].. :D,,Neutral
yung bagong commercial ni [Entity_A] :-----(((( HAHAHAHAHHAHAHAHAHAHAKAWAWANG BINAY HAYS,,Neutral
ate number Positive po c [Entity_A] sa presinto namin sa Cavite City NeutralNegativePositive si [Entity_B] NeutralNeutral5 si [Entity_A],,Positive
Ayaw na nilang lagyan ng mukha ni [Entity_A] yung TV commercial niya. Nice effort [Entity_A] PR Team.,,Positive
"Not sure yet but definitely not [Entity_A], [Entity_B], or [Entity_C].",,Neutral
"Yung paningin ko pag pinapalabas ung tv ad ni [Entity_A], parang ung tv ad nya rin lng. MADILIM.",,Negative
Yung bakla kanina sa salon g na g kay [Entity_A]. Si [Entity_B] daw ang MA's karapat dapat. Magkano kaya nakuha nya. Hahahahahaha. Hays,,Negative
"Unlike his rich rivals, [Entity_A] hails from the poor",,Neutral
"tells [Entity_A] on BUB: It's participatory governance, and not a money making, corruption undertaking. | via",,Neutral
I'd rather [Entity_A]-[Entity_B],,Neutral
Senador [Entity_A] tutol na ipakita sa publiko ang kaniyang medical records |,,Neutral
"""Ayaw na natin ng gobyerno na manhid."" - [Entity_A]",,Negative
shut up [Entity_A]. Hahaha chat mo ko,,Neutral
lagot ka kay [Entity_A],,Negative
"[Entity_A], nilinaw na mas malala kung magiging presidente si [Entity_B] kaysa [Entity_C] | via DZMM TeleRadyo",,Positive
Here comes [Entity_A],,Neutral
Sorry [Entity_A] pero di ko pa din gets kung ano kinalaman ng pagiging nognog mo sa pagiging presidente ng pilipinas.,,Neutral
"Nognog. Pandak. Laki sa hirap. ""Madaming nagawa"" pero mas maraming TV Ads. Yan si [Entity_A]! Sobrang agit ko! umayos ka",,Negative
Namo [Entity_A]!,,Neutral
Simple rule wala pa dpt mangngampanya and yet pol ads evrywhere. Do not vote for them. [Entity_A] [Entity_B] [Entity_C],,Negative
I therefore conclude that [Entity_A] is very good in the business of stealing.,,Negative
"Hindi ka naman mananalo [Entity_A] e, so shut up ka nalang",,Negative
I VOTE [Entity_A]! Actually four of us!,,Positive
hahahahhahaha [Entity_A] corrupt politician liar magnanakaw sa kaban nang bayan!,,Negative
[Entity_A] doesn't have the funds to air his own VP ad yet has money to pay for anti-[Entity_B] ad? Labo di ba?,,Neutral
RT: hahaha miss you [Entity_A]!!,,Positive
