text,R1,R2,R3,final_label
"GRABE SI [Entity_A], NAGPULA LANG NG SUOT KIT KAT NA KAAGAD! GRABE SIYA OH!",Negative,Neutral,Negative,Negative
Ang Pangulo ko ay si [Entity_A]. Ishare mo to sa Positive5 na tao within Negative0mins at magkakaron ka ng SOBRE. Wag kang tumawa kapitbahay ko meron na.,Negative,Positive,Positive,Neutral
LABAN [Entity_A]! UNGASAN MO SI [Entity_B]!,Positive,Neutral,Neutral,Neutral
hahahahaahavahahahahahahhaha may hawig yung kay [Entity_A],Neutral,Neutral,Neutral,Negative
4 govt agencies after investigation w evidence says [Entity_A] is corrupt.,Negative,Negative,Negative,Negative
"Wow if an anti-[Entity_A] ad is released, much accepted. But if an anti-[Entity_B] ad is released, it is a form of sabotage. Equality, you say? Yuck",Negative,Negative,Negative,Negative
"Jusko eto tayo. Labanan ng intro si [Entity_A]. Sa second paragraph, wala na connect",Negative,Negative,Negative,Negative
"[Entity_A]'s appeal for a dialogue ""anytime and anywhere"" with [Entity_B]...",Neutral,Neutral,Negative,Negative
Jajajhha pera pera tlga Tong si [Entity_A],Negative,Negative,Negative,Negative
Moderator Coco Alcuaz said [Entity_A] requested that they present their platforms one by one,Neutral,Neutral,Neutral,Negative
The question is not whether [Entity_A] is bad but whether he will be badder,Negative,Negative,Negative,Negative
SC asked to oust [Entity_A] from Boy Scouts of the Philippines,Negative,Negative,Negative,Neutral
"[Entity_A], iginiit na wala siyang kinalaman sa desisyon ng anak sa kaso ni [Entity_B]",Neutral,Neutral,Neutral,Neutral
Hayop na [Entity_A] to pumapangalawa!,Negative,Negative,Negative,Negative
"Alam na. [Entity_A], Arroyo, Garci unite: [Entity_A] taps Puno as campaign adviser",Neutral,Neutral,Neutral,Neutral
"[Entity_A] is More Deserving than [Entity_B] & [Entity_C], No To Sayang [Entity_A] .. MyPresidentIs [Entity_A]",Negative,Neutral,Neutral,Neutral
Hay naku [Entity_A],Negative,Negative,Negative,Negative
Vote niyo po si Vice President [Entity_A]? full force required love y'all,Positive,Positive,Positive,Negative
Puneta 'tong si [Entity_A]. Hays.,Negative,Negative,Negative,Negative
Nog Nog. Pandak. Ulul nyo Yan si [Entity_A],Negative,Negative,Negative,Negative
"Si [Entity_A] parang pag mamahal ko, wala na kong choice.",Neutral,Neutral,Neutral,Negative
Souvenir from Vice President [Entity_A],Neutral,Neutral,Neutral,Neutral
"Since I am not a registered voter yet, i requested him to vote [Entity_A]/[Entity_B] for pres and [Entity_C] for VP. boooo [Entity_D].",Positive,Neutral,Neutral,Negative
SC orders CA to resolve the child of [Entity_A]'s suspension - Read:,Neutral,Neutral,Neutral,Neutral
Nakakainis yung commercial ni [Entity_A],Negative,Negative,Negative,Neutral
Yak naman [Entity_A]. Yakkk,Negative,Negative,Negative,Negative
"Bakit feeling ko, hindi naman sinasagot ni [Entity_A] ang mga tanong ni Mike? Ako lang ba to o kayo din? Hmmm.",Negative,Negative,Negative,Negative
"Lintek to si [Entity_A]. Tatakbo ng presidente, pinagmamalaki parin yung ginawa niya sa makati taon taon nang nakalipas.",Negative,Negative,Negative,Negative
"Ever since i started voting, i do not like [Entity_A].. I sensed the dishonesty and hypocricy in him even before",Negative,Negative,Negative,Neutral
"Itinuturong dummy ni [Entity_A], pumalag",Neutral,Neutral,Neutral,Negative
"[Entity_A], it's either your team failed at research or you purposely got it wrong. But knowing you, it must b the latter",Negative,Neutral,Negative,Negative
"[Entity_C]: ""my friends here, [Entity_D] and [Entity_E]."" Sorry [Entity_A] and [Entity_B] di mo friends",Negative,Negative,Negative,Negative
"Pag yang resulta naiba pa, at si [Entity_A] ang maging nangunguna, alam na!!",Negative,Negative,Negative,Negative
NEWS: [Entity_A] to face Enrile grilling when probe reopens | via,Neutral,Neutral,Neutral,Negative
naalala ko sabi ng mga taga ARMM...si [Entity_B] ang may plan b-z! Baba daw si [Entity_C].impeach daw si [Entity_A].,Negative,Negative,Negative,Negative
Si [Entity_A] yung kaklase nating magtetake ng risk para lang may masabi sa recitation dahil masyadong bilib sa sarili kaya 'di na nag-iisip.,Negative,Negative,Negative,Negative
at ang nakakaimbyerna talaga ay yung pagdedefend niya kay [Entity_A],Negative,Negative,Negative,Negative
May bago palang advert si [Entity_A]? Hahahaha. hahaha joke,Negative,Negative,Negative,Negative
Brigada News Update! - 4P's tinuligsa ng kampo ni VP [Entity_A] -,Neutral,Neutral,Neutral,Negative
just confirmed. [Entity_A] tarps on the mountain side along Kennon road,Negative,Neutral,Neutral,Negative
"[Entity_A] ad says, sino na ba ang nagbigay ng scholarship... Uhm excuse me po, not you. It's gov funds",Negative,Negative,Negative,Negative
VP [Entity_A] reiterates denial of owning hacienda in Batangas | via GMA News,Neutral,Neutral,Neutral,Negative
shut up [Entity_A] uy,Negative,Negative,Negative,Negative
GAGO [Entity_A] TALAGANG LIBRE ANG PAG-AARAL SA PUBLIC SCHOOLS/SCUs! GAGO BA U?,Negative,Negative,Negative,Negative
Puro sympathy attack na lang tong si [Entity_A] jusme. Bobotante lang maniniwala,Negative,Negative,Negative,Negative
Nung si tado niloko ka nagalit ka. Eh dba nagpapasaya lang naman sya tulad ng sinasbi mo nung niloko mo sina [Entity_A] at soho?,Negative,Negative,Negative,Neutral
Bakit Pangalawa si. [Entity_A] ANO TO,Negative,Negative,Negative,Negative
Pick up line ba yan [Entity_A]?,Neutral,Neutral,Neutral,Negative
CA ordered to rule on [Entity_A] petition for certiorari over Ombudsman's suspension order | Live,Neutral,Neutral,Neutral,Negative
so tired of reading kim henares vs pia. how bout you find out why police can't find [Entity_A]'s bagmen.,Negative,Negative,Negative,Negative
Hala Positivend na si [Entity_A].... 7.Neutral Million .... Neutralst si [Entity_B] Million votes sa partial and unofficial votes.,Neutral,Neutral,Neutral,Neutral
[Entity_A]: It's time to amend our Constitution,Neutral,Neutral,Neutral,Neutral
Only [Entity_A] is nognog pandak laki sa hirap,Negative,Negative,Negative,Negative
[Entity_A] calling for unity to stop [Entity_B] just shows how weak leader he can be.,Negative,Negative,Negative,Negative
"Jogging with iPad. Hassle, [Entity_A].",Neutral,Negative,Negative,Negative
ANDAMING CONCEPTS NG SERIES NG TVC NI [Entity_A]. Hindi ko matanggap na wala man lang done in good taste. HIRE ME PLEASE AND PAY MEEEEE,Negative,Neutral,Negative,Negative
"[Entity_A], [Entity_B] and [Entity_C], get out of here. You have no business here.",Negative,Negative,Negative,Negative
Ang sakit [Entity_A],Negative,Negative,Negative,Negative
[Entity_A]! I smell something fishy!,Negative,Negative,Negative,Neutral
"Isa kila [Entity_A] at [Entity_B] ay mag gigive way just to defeat [Entity_C], desperate ah.",Negative,Negative,Negative,Negative
"DepEd NETIZENS PUMALAG - Umani ng batikos ang kampanya ni [Entity_A] ngayon sa Marawi Lanao del Sur, ""Non-partisan...",Negative,Negative,Neutral,Negative
,Neutral,Neutral,Neutral,Neutral
Ang haggard ko kanina dahil kay [Entity_A]. Kingama lang!,Negative,Negative,Negative,Negative
TSK! Sayang boto talaga kay [Entity_A],Negative,Negative,Negative,Negative
"A very good and detailed breakdown for the undecided on why choose [Entity_A], with information and specifics. You...",Positive,Positive,Positive,Negative
bat ikaw? Baka [Entity_A] ka ah? Shut Up ka nalang din,Negative,Negative,Negative,Negative
[Entity_A]: I DON'T NEED OFW VOTE via,Negative,Neutral,Neutral,Negative
"Nakaka bwisit lang mga commercial ni [Entity_A], sarap batuhin yung tv.",Negative,Negative,Negative,Negative
"KAHIT NAKASARA YUNG TV NAMIN, ANDUN PA RING YUNG ADVERTISEMENT NI [Entity_A] NOGNOG KA TLGA [Entity_A]",Negative,Negative,Negative,Negative
[Entity_A] threathening? Di siya ganun katanga! Nautusan nanaman tong Ombudsman na to ng mga DILAW!,Negative,Negative,Negative,Negative
4p's to 5p's?! Ulul. Wag kami [Entity_A].,Negative,Negative,Negative,Negative
"Actress Ai-ai delas Alas says she's here as a friend of VP [Entity_A], says she didn't get talent fee to appear here",Positive,Neutral,Neutral,Negative
"[Entity_A]: ""Bilang pangulo..."" OKAY, PERO NUNG NANDYAN KA SA POSISYON MO, WALA NAMANG NANGYARI",Negative,Negative,Negative,Neutral
[Entity_A] tapos INC si kat nyay??,Neutral,Neutral,Neutral,Positive
"[Entity_A]: Vice president sa umaga, di makita sa gabi ayoko na po",Negative,Negative,Negative,Neutral
pano yung remaining PH 5B kapag hindi nanalo si [Entity_A]? Sa bulsa Ni [Entity_B] ganern?,Negative,Negative,Negative,Positive
"nakita ko nanaman ung advertisement ni [Entity_A], kung sino pa ung nognog sya pa ung nagbigay liwanag, bakit cactus ba sya???????",Negative,Negative,Negative,Neutral
Anong konek ng pagiging nognog at pandak ni [Entity_A] sa mga nagawa 'daw' nya sa Makati? Paki-explain. Labyu :D,Negative,Negative,Negative,Neutral
My birthday wish for [Entity_A]: Hindi sana ikaw ang manalong pangulo ng Pilipinas.,Negative,Negative,Negative,Negative
"magsama sila ni [Entity_A].. tutal kapartida nya yun painumin din mya ng pills, jamming sila! HAHAHAHAHAHAHAHA",Negative,Negative,Negative,Negative
[Entity_A] is like a desperate dog trying to steal the crown owned by [Entity_B],Negative,Negative,Negative,Neutral
[Entity_A] Caught on Camera Giving Out Tiny Envelopes Containing P500.00: Presidential candidate Vice Pr...,Negative,Negative,Negative,Negative
"Ugggh! Bat kahit anong sabihin ni [Entity_A] at ni [Entity_B], di ko magawang maniwala.",Negative,Negative,Negative,Neutral
May dayaan talagang magaganap Gagawa ng paraan si [Entity_A] wag lang Manalo si [Entity_B].. poor poor [Entity_A],Negative,Negative,Negative,Negative
ano ba yan bat ba puro mukha ni [Entity_A] nasa tl ko,Negative,Negative,Negative,Neutral
Nakakaymtawa mga sagot ni [Entity_A]. Walang kwenta,Negative,Negative,Negative,Negative
I make things happen. I walk the talk. - [Entity_A],Positive,Neutral,Neutral,Negative
"ayoon, badtrip talaga ad ni [Entity_A]",Negative,Negative,Negative,Negative
Tangina [Entity_A] ahahhahaha,Negative,Negative,Negative,Negative
"Pansin ko lang, si [Entity_C] laman lage ng blita niyo? Umay nako, [Entity_A], [Entity_B] at [Entity_D] naman.. gsPositive ko dn mlmn ibang baho nila",Negative,Negative,Negative,Negative
[Entity_A] enticed people w/ 500php but didn't pay them afters. they rallied in baguio.,Negative,Negative,Negative,Negative
"Here's [Entity_A]'s response to [Entity_B]: ""Anytime pwede namang mag-usap, pero sa puntong ito, ano pa ba ang pag-uusapan natin?""",Neutral,Neutral,Neutral,Positive
[Entity_A] para sa pagbabago Umay na ko sa mukha ni [Entity_B] at Binay!,Positive,Neutral,Neutral,Negative
HAHAHAHA ABA VANISHING [Entity_A],Negative,Negative,Negative,Negative
"Pano hindi ka kase humaharap sa korte! Wag kami [Entity_A], wag kami.",Negative,Negative,Negative,Positive
What if maapsan ni [Entity_A] ang votes ni mayor? world war III na ba? hahahaha,Neutral,Neutral,Negative,
Umay na umay nako sa advertisement ni [Entity_A],Negative,Negative,Negative,
Too sad to know that [Entity_A] is at the bottom. That should be [Entity_B] spot. Totoo nga ang stupid is forever.,Negative,Negative,Negative,
Nakakaloka naman. Kampanya pa more. Idaan sa drama ang lahat. Sino kaya gaganap ng [Entity_A] next week?,Negative,Negative,Negative,
nandyan lang si [Entity_A],Neutral,Neutral,Neutral,
[Entity_A] should be more original and stop using any reference to daan,Negative,Negative,Negative,
"Days ago si [Entity_A] nangunguna sa TV ads. Then suddenly ngayon, biglang si [Entity_B] na lang? Biglang no mention...",Negative,Neutral,Negative,
"In samaiego OMB decision executory pending R4Negative invoking ao Neutral7. In [Entity_A], SC said CA has jurisdiction in apps for remedy.",Neutral,Neutral,Neutral,
INIS. Inis yung feeling kapag nakakabasa ako ng [Entity_A] articles. Puro comparison at paninira sa ibang partido. Tsk tsk tsk,Negative,Negative,Negative,
Putek na advertisement ng [Entity_A] na to. Puro Pandak ung mga sinasabi! Hayop!!!,Negative,Negative,Negative,
TENGENENG [Entity_A] TO ABUSADO SA PATALASTAS HAHA,Negative,Negative,Negative,
Magulat kayo biglang si [Entity_A] nanalong Presidente sa official results.,Neutral,Negative,Negative,
"RT Si [Entity_A], sinungaling. Si apl.de.ap ang tinutukoy ng ad nya. Ang ad nyang nakakaumay nang makita pag nanonood ng TV!",Negative,Negative,Negative,
Ginaya ni [Entity_A] yung Ad ng ACS. Neta!! Walang originality!! Boseeeet! [Entity_B] TILL THE END. ANO ABS-CBN!,Negative,Neutral,Neutral,
[Entity_A]: More poor Filipinos under [Entity_B] administration,Negative,Neutral,Neutral,
Todo bully ang mga tao kay [Entity_A]! Di naman nakakatuwa!,Negative,Neutral,Negative,
RT: Nahhigh blood ako sa commercial ni [Entity_A],Negative,Negative,Negative,
Bakit ang payat at haggard ni [Entity_A]?,Negative,Neutral,Negative,
Ayaw pa pala magconcede ni [Entity_A].. :D,Negative,Negative,Negative,
yung bagong commercial ni [Entity_A] :-----(((( HAHAHAHAHHAHAHAHAHAHAKAWAWANG BINAY HAYS,Negative,Negative,Negative,
ate number Positive po c [Entity_A] sa presinto namin sa Cavite City NeutralNegativePositive si [Entity_B] NeutralNeutral5 si [Entity_A],Neutral,Neutral,Neutral,
Ayaw na nilang lagyan ng mukha ni [Entity_A] yung TV commercial niya. Nice effort [Entity_A] PR Team.,Negative,Negative,Negative,
"Not sure yet but definitely not [Entity_A], [Entity_B], or [Entity_C].",Negative,Negative,Negative,
"Yung paningin ko pag pinapalabas ung tv ad ni [Entity_A], parang ung tv ad nya rin lng. MADILIM.",Negative,Negative,Negative,
Yung bakla kanina sa salon g na g kay [Entity_A]. Si [Entity_B] daw ang MA's karapat dapat. Magkano kaya nakuha nya. Hahahahahaha. Hays,Negative,Neutral,Negative,
"Unlike his rich rivals, [Entity_A] hails from the poor",Positive,Neutral,Neutral,
"tells [Entity_A] on BUB: It's participatory governance, and not a money making, corruption undertaking. | via",Neutral,Neutral,Neutral,
I'd rather [Entity_A]-[Entity_B],Positive,Positive,Positive,
Senador [Entity_A] tutol na ipakita sa publiko ang kaniyang medical records |,Negative,Neutral,Neutral,
"""Ayaw na natin ng gobyerno na manhid."" - [Entity_A]",Positive,Neutral,Neutral,
shut up [Entity_A]. Hahaha chat mo ko,Negative,Negative,Negative,
lagot ka kay [Entity_A],Neutral,Negative,Negative,
"[Entity_A], nilinaw na mas malala kung magiging presidente si [Entity_B] kaysa [Entity_C] | via DZMM TeleRadyo",Negative,Neutral,Neutral,
Here comes [Entity_A],Neutral,Neutral,Positive,
Sorry [Entity_A] pero di ko pa din gets kung ano kinalaman ng pagiging nognog mo sa pagiging presidente ng pilipinas.,Negative,Negative,Negative,
"Nognog. Pandak. Laki sa hirap. ""Madaming nagawa"" pero mas maraming TV Ads. Yan si [Entity_A]! Sobrang agit ko! umayos ka",Negative,Negative,Negative,
Namo [Entity_A]!,Negative,Negative,Negative,
Simple rule wala pa dpt mangngampanya and yet pol ads evrywhere. Do not vote for them. [Entity_A] [Entity_B] [Entity_C],Negative,Negative,Negative,
I therefore conclude that [Entity_A] is very good in the business of stealing.,Negative,Negative,Negative,
"Hindi ka naman mananalo [Entity_A] e, so shut up ka nalang",Negative,Negative,Negative,
I VOTE [Entity_A]! Actually four of us!,Positive,Positive,Positive,
hahahahhahaha [Entity_A] corrupt politician liar magnanakaw sa kaban nang bayan!,Negative,Negative,Negative,
[Entity_A] doesn't have the funds to air his own VP ad yet has money to pay for anti-[Entity_B] ad? Labo di ba?,Negative,Negative,Negative,
RT: hahaha miss you [Entity_A]!!,Positive,Positive,Positive,
